title,overview,release_date,vote_average,vote_count,genres,original_language
,"Three people's fates are interwoven in the Battle of the Teutoburg Forest in 9 A.D., during which Germanic warriors halt the spread of the Roman Empire.",,7.3,594,"Unknown, Drama",de
,"After seeing an ad for a midwife, a recently divorced big-city nurse moves to the redwood forests of California, where she meets an intriguing man.",,7.991,526,Drama,en
,,,6.0,8,"Drama, Mystery",es
,"In 2008, a fight over land in a seaside town near Rome spirals into a deadly battle between organized crime, corrupt politicians and the Vatican.",,7.4,200,"Crime, Drama",it
,"Follow the voyages of Starfleet on their missions to discover new worlds and new life forms, and one Starfleet officer who must learn that to truly understand all things alien, you must first understand yourself.",,7.089,1795,"Unknown, Unknown, Drama",en
,"While hunting for a dating-site predator, an underused cop discovers a husband and wife with a horrific secret — and a web of conspiracy hiding it.",,7.2,99,"Drama, Crime",pt
,"Wielding a light-up sword through the dark corners of a high school, a nurse with an unusual gift protects students from monsters only she can see.",,7.4,112,"Unknown, Drama",ko
,"In 1980s LA, a crew of misfits reinvent themselves as the Gorgeous Ladies of Wrestling.",,7.268,380,"Comedy, Drama",en
Amanda Knox,"This gripping, atmospheric documentary recounts the infamous trial, conviction and eventual acquittal of Seattle native Amanda Knox for the 2007 murder of a British exchange student in Italy.",2016-09-10,6.629,550,"Documentary, Crime",en
,"100 years in the future, when the Earth has been abandoned due to radioactivity, the last surviving humans live on an ark orbiting the planet — but the ark won't last forever. So the repressive regime picks 100 expendable juvenile delinquents to send down to Earth to see if the planet is still habitable.",,7.897,8151,"Unknown, Drama, Unknown",en
Enola Holmes,"While searching for her missing mother, intrepid teen Enola Holmes uses her sleuthing skills to outsmart big brother Sherlock and help a runaway lord.",2020-09-23,7.265,6049,"Adventure, Mystery, Crime",en
,"An origins story, beginning in 1947, which follows Ratched's journey and evolution from nurse to full-fledged monster tracking her murderous progression through the mental health care system.",,7.684,1127,"Mystery, Drama, Crime",en
The Social Dilemma,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",2020-01-26,7.5,1601,"Documentary, Drama",en
,"Elegant, proper Grace and freewheeling, eccentric Frankie are a pair of frenemies whose lives are turned upside down - and permanently intertwined - when their husbands leave them for each other. Together, they must face starting over in their 70s in a 21st century world.",,7.7,314,"Comedy, Drama",en
Seven Pounds,An IRS agent with a fateful secret embarks on an extraordinary journey of redemption by forever changing the lives of seven strangers.,2008-12-18,7.609,6777,Drama,en
,"Armed with technological gear, great ideas and an unfailing sense of humour, Talking Tom and his friends are on a mission to reach stardom at all costs.",,7.1,15,"Animation, Comedy, Unknown",en
,"An unusual, real-world romance involving relatable people, with one catch - there are three of them! You Me Her infuses the sensibilities of a smart, grounded indie rom-com with a distinctive twist: one of the two parties just happens to be a suburban married couple.",,7.011,408,"Comedy, Drama",en
,"After wealthy college boy Ömer and lower class college girl Aysem fall in love and quickly marry, they learn that love and life aren't always perfect.",,6.5,2,"Comedy, Drama, Family",tr
Zengo,"A housewife with a big passion for fashion and with the help of her tailor Fazilet, she is turning her ideas into reality, but she gets competition from her school day friend and rival Menkibe.",2020-03-06,2.0,5,Comedy,tr
Pocket Hercules: Naim Suleymanoglu,"From defecting to the Olympics, an underdog weightlifter powers through adversity to raise up his community in this biopic of Naim Süleymanoğlu.",2019-11-22,7.7,66,Drama,tr
Vendors' Meeting,"How much chaos can three white goods dealers who come to İstanbul from Anatolia get into in three days? The paths of Namık, Adem and Sadık, three men going through difficult periods in their lives, intersect at a dealer meeting. After a series of unexpected events, they find themselves caught in a crazy plan. To survive, the three dealers have no choice but trust each other and move fast.",2020-02-20,5.1,41,Comedy,tr
Sister In Law,"Yeliz leads a happy life with her brother Ahmet, who she is very fond of. But Ahmet Deniz falls in love, and he makes her a marriage proposal, Yeliz's world collapsed. They think, ""oh, I get them well apart, as I also did it with all his previous girlfriends."" Yeliz begins to make plans with her group of girlfriends to drive the two apart. On the one hand Yeliz, on the other hand, Ahmet Deniz, who tries to protect Deniz against the snares of his sister, without leaving marks Deniz. There awaits all sorts of comic adventures ...",2016-12-01,5.9,39,Comedy,tr
Baba Parası,"A group of siblings that share nothing but a father come together after the patriarch's death to compete for his fortune. He left a save for his children, but took the password to the grave with him.",2020-01-01,4.8,27,Comedy,tr
Miracle in Cell No. 7,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",2019-10-10,8.262,4415,Drama,tr
,"Morgan Freeman presents his quest in order to find how most religions perceive life after death, what different civilizations thought about the act of creation and other big questions that mankind has continuously asked.",,7.446,373,Documentary,en
The Big Lebowski,"Jeffrey 'The Dude' Lebowski, a Los Angeles slacker who only wants to bowl and drink White Russians, is mistaken for another Jeffrey Lebowski, a wheelchair-bound millionaire, and finds himself dragged into a strange series of events involving nihilists, adult film producers, ferrets, errant toes, and large sums of money.",1998-03-06,7.842,11234,"Comedy, Crime",en
G.O.R.A.,"Carpet dealer and UFO photo forger Arif is abducted by aliens and must outwit the evil commander-in-chief of G.O.R.A., the planet where he is being held.",2004-11-12,7.3,323,"Comedy, Adventure, Science Fiction",tr
The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",1972-03-14,8.69,20844,"Drama, Crime",en
Roma,"In 1970s Mexico City, two domestic workers help a mother of four while her husband is away for an extended period of time.",2018-11-21,7.6,3897,Drama,es
"Ruben Brandt, Collector",Psychotherapist Ruben Brandt becomes the most wanted criminal in the world when he and four of his patients steal paintings from the world's most renowned museums and art collections.,2018-06-22,7.4,149,"Animation, Action, Thriller, Crime",hu
My Brother,"Two resentful, singer brothers Hakan and Ozan who can't get along well. Meet again in their father's funeral. Even though they want to get back to their daily lives after the funeral, their father's will won't allow it.  They will take a journey with their dead father's old car in order to carry out his bequest which is to sing at a wedding in Urla.",2016-01-15,6.1,57,"Drama, Comedy",tr
Sisters in Law,"Set in Kumba in South West Cameroon Sisters in Law follows Adultery, Rape and Abuse cases led by a Female Judge.",2005-09-03,6.6,7,"Documentary, Crime",en
,"Acclaimed filmmakers from around the world channel their creativity during COVID-19 isolation with this diverse, genre-spanning collection of short films.",,5.8,23,"Drama, Documentary, Family",en
Addicted,A gallerist risks her family and flourishing career when she enters into an affair with a talented painter and slowly loses control of her life.,2014-10-10,5.917,411,"Drama, Thriller",en
A Quiet Place,A family is forced to live in silence while hiding from creatures that hunt by sound.,2018-04-03,7.402,14258,"Horror, Drama, Science Fiction",en
Overnight Republic,"Peker Mengen wins the post of mayor in a remote town with the promise of a visit by the prime minister and making the town a province. When the people do not forget his promise, Mengen ends up persuading the prime minister to visit the town with his idiosyncratic methods. After consulting with his advisors, Peker prepares a grandiose welcome ceremony, but when the ceremony gets out of his control, the town of 5000 people suddenly ends up becoming a country, one that is at war with America. As Peker Mengen, his unwillingly married wife Mualla and his advisors try to keep America at bay and struggle with the difficulties of establishing a new country, they even get the help of an alien to achieve their goals.",2017-04-20,5.5,54,Comedy,tr
Sour Apples,"In an eastern Turkish town, suitors knock on the door of the mayor and father of three beautiful daughters who choose to follow their own paths.",2016-10-28,6.9,60,"Drama, Comedy",tr
Comidark Films 2: Insane,"Güven, a taxi driver is desperately in love with Meral, but he’s too shy to open up to her. One day he picks up a customer, gets accused of a crime he didn’t commit and his world is turned upside down.",2020-01-17,6.4,67,"Drama, Comedy",tr
Comidark Films 2: The Pawn,"Birol has given up his true passion, dancing, after getting injured in an accident. Birol leaves his job as a quilt maker at his father’s shop when his father passes away and travels to İstanbul to dance his way to the top at a talent show. But his dreams soon run up against uncanny realities.",2020-01-17,5.5,54,"Drama, Comedy",tr
Psycho,"When larcenous real estate clerk Marion Crane goes on the lam with a wad of cash and hopes of starting a new life, she ends up at the notorious Bates Motel, where manager Norman Bates cares for his housebound mother.",1960-06-22,8.4,10129,"Horror, Thriller, Mystery",en
Mad Max: Fury Road,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order.",2015-05-13,7.618,22713,"Action, Adventure, Science Fiction",en
,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.",,7.983,1740,Comedy,en
,"Everyone's favorite chipmunks -- Alvin, Simon and Theodore -- are back in this computer-animated version of the classic animated series. The brothers are famous rock stars who tour around the world with their best friends, the Chipettes.",,6.9,40,"Animation, Comedy, Family, Unknown",en
Feminists: What Were They Thinking?,"In 1977, a book of photographs captured an awakening - women shedding the cultural restrictions of their childhoods and embracing their full humanity. This documentary revisits those photos, those women and those times and takes aim at our culture today that alarmingly shows the need for continued change.",2018-02-19,7.697,94,Documentary,en
,"James is 17 and is pretty sure he is a psychopath. Alyssa, also 17, is the cool and moody new girl at school. The pair make a connection and she persuades him to embark on a darkly comedic road trip in search of her real father.",,8.068,3195,"Comedy, Drama, Crime",en
Fun with Dick and Jane,"After Dick Harper loses his job at Globodyne in an Enron-esque collapse, he and his wife, Jane, turn to crime in order to handle the massive debt they now face. Two intelligent people, Dick and Jane actually get pretty good at robbing people and even enjoy it -- but they have second thoughts when they're reminded that crime can hurt innocent people. When the couple hears that Globodyne boss Jack McCallister actually swindled the company, they plot revenge.",2005-12-21,6.2,2438,"Comedy, Crime",en
Super Dark Times,"Teenagers Zach and Josh have been best friends their whole lives, but when a gruesome accident leads to a cover-up, the secret drives a wedge between them and propels them down a rabbit hole of escalating paranoia and violence.",2017-09-29,6.5,613,"Drama, Thriller",en
The Way We Are,"The stories of four queer Asian women are presented within an immersive experience of past and present, revealing the real-lives of a different generation.",2020-10-01,0.0,0,,en
Minimalism: A Documentary About the Important Things,How might your life be better with less? The popular simple-living duo The Minimalists examines the many flavors of minimalism by taking the audience inside the lives of minimalists from various walks of life.,2015-09-26,6.6,383,Documentary,en
Hot Girls Wanted,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,2015-05-29,6.056,661,Documentary,en
,"Infographics and archival footage deliver bite-size history lessons on scientific breakthroughs, social movements and world-changing discoveries.",,7.1,95,Documentary,en
,Jim Al-Khalili tackles the greatest question in science - how the universe began. By recreating key experiments Jim unravels the mystery of science's creation story.,,7.2,6,Documentary,en
,"A peek inside the exploits and privileged private lives of the blended Kardashian-Jenner family, including sisters Kim, Kourtney and Khloé.",,7.4,889,Unknown,en
,"Sick, twisted, politically incorrect and Freakin' Sweet animated series featuring the adventures of the dysfunctional Griffin family. Bumbling Peter and long-suffering Lois have three kids. Stewie (a brilliant but sadistic baby bent on killing his mother and taking over the world), Meg (the oldest, and is the most unpopular girl in town) and Chris (the middle kid, he's not very bright but has a passion for movies). The final member of the family is Brian - a talking dog and much more than a pet, he keeps Stewie in check whilst sipping Martinis and sorting through his own life issues.",,7.4,4419,"Animation, Comedy",en
,Experience our planet's natural beauty and examine how climate change impacts all living creatures in this ambitious documentary of spectacular scope.,,8.5,372,"Documentary, Unknown",en
Erin Brockovich,"A twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. Erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. She starts investigating and soon exposes a monumental cover-up.",2000-03-17,7.4,3205,Drama,en
The Usual Suspects,"Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.",1995-07-19,8.176,10453,"Drama, Crime, Thriller",en
Birdman or (The Unexpected Virtue of Ignorance),"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",2014-10-17,7.463,12837,"Drama, Comedy",en
Have a Good Trip: Adventures in Psychedelics,"Celebrities recall their most mind-bending trips via animations, reenactments and more in this comedic documentary exploring the story of psychedelics.",2020-05-11,6.7,166,Documentary,en
Phantom Thread,"In 1950s London, a renowned dressmaker's meticulous lifestyle begins drastically changing as his relationship with his young muse intensifies.",2017-12-25,7.3,3485,"Drama, Romance",en
Jerry Maguire,"Jerry Maguire used to be a typical sports agent: willing to do just about anything he could to get the biggest possible contracts for his clients, plus a nice commission for himself. Then, one day, he suddenly has second thoughts about what he's really doing. When he voices these doubts, he ends up losing his job and all of his clients, save Rod Tidwell, an egomaniacal football player.",1996-12-13,7.0,3289,"Comedy, Drama, Romance",en
Dazed and Confused,"The adventures of a group of Texas teens on their last day of school in 1976, centering on student Randall Floyd, who moves easily among stoners, jocks and geeks. Floyd is a star athlete, but he also likes smoking weed, which presents a conundrum when his football coach demands he sign a ""no drugs"" pledge.",1993-09-24,7.3,2037,"Comedy, Drama",en
,"While trying to make their teacher fall for a basketball coach, four misfits and a model student find friendship, love and the courage to be themselves.",,7.8,177,"Comedy, Drama",tr
You Were Never Really Here,"A traumatised veteran, unafraid of violence, tracks down missing girls for a living. When a job spins out of control, his nightmares overtake him as a conspiracy is uncovered leading to what may be his death trip or his awakening.",2017-11-08,6.556,2782,"Crime, Drama, Thriller",en
,"CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.",,7.553,2216,"Drama, Unknown, Crime",en
,A pair of cash-strapped newlyweds accept a lucrative but morally dubious offer from a mysterious female benefactor.,,6.4,159,Drama,en
,A Hasidic Jewish woman in Brooklyn flees to Berlin from an arranged marriage and is taken in by a group of musicians -- until her past comes calling.,,7.8,627,Drama,de
Yes Man,"Carl Allen, a guy whose life is going nowhere, signs up for a self-help program based on one simple covenant: say yes to everything…and anything.",2008-12-09,6.7,6828,"Comedy, Romance",en
Year One,"When a couple of lazy hunter-gatherers are banished from their primitive village, they set off on an epic journey through the ancient world.",2009-06-18,5.0,1854,"Comedy, Adventure",en
,"A woman named Go Ae-Rin loses her husband. Along with her neighbour Kim Bon, who is a NIS agent, they discover the truth behind her husband's involvement in a huge conspiracy.",,8.155,126,"Mystery, Comedy, Unknown",ko
The Curious Case of Benjamin Button,"Born under unusual circumstances, Benjamin Button springs into being as an elderly man in a New Orleans nursing home and ages in reverse. Twelve years after his birth, he meets Daisy, a child who flits in and out of his life as she grows up to be a dancer. Though he has all sorts of unusual adventures over the course of his life, it is his relationship with Daisy, and the hope that they will come together at the right time, that drives Benjamin forward.",2008-12-25,7.592,12827,"Drama, Fantasy, Romance",en
No Country for Old Men,"Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.",2007-06-13,7.9,12076,"Crime, Drama, Thriller",en
The Green Mile,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",1999-12-10,8.507,17633,"Fantasy, Drama, Crime",en
Freud's Last Session,"On the eve of the Second World War, two of the greatest minds of the twentieth century, C.S. Lewis and Sigmund Freud converge for their own personal battle over the existence of God. The film interweaves the lives of Freud and Lewis, past, present, and through fantasy, bursting from the confines of Freud’s study on a dynamic journey.",2023-12-22,6.589,101,Drama,en
The Platform,"A slab of food descends down a vertical facility. The residents above eat heartily, leaving those below starving and desperate. A rebellion is imminent.",2019-11-08,6.972,7176,"Drama, Science Fiction, Thriller",es
Comidark Films: In Between,"Working in a ferry as a waiter, Ayzek, having a defect with his front teeth, dreams to get his front teeth fixed and to marry his girlfriend, Songül. The news gets out that the ferry company is turning over the management to a new one and the whole crew is to be interviewed. When the interviewer arrives on board, Ayzek’s world is turned upside down.",2019-10-18,6.4,86,"Drama, Comedy",tr
Comidark Films: The Getaway,4 pals find themselves in the middle of an adventure involving the US Army and aliens when one of them is gone missing during their secret weekend getaway without their wives in a spa center in Kömlük.,2019-10-18,5.2,79,Comedy,tr
The Departed,"To take down South Boston's Irish Mafia, the police send in one of their own to infiltrate the underworld, not realizing the syndicate has done likewise. While an undercover cop curries favor with the mob kingpin, a career criminal rises through the police ranks. But both sides soon discover there's a mole among them.",2006-10-04,8.161,14972,"Drama, Thriller, Crime",en
Failure to Launch,"At 35, Tripp has an interesting job, a hip car, a passion for sailing, an active dating life, and a great house - trouble is, he still lives with his parents, Al and Sue, who are not happy about it. Al and Sue are fascinated when friends whose adult son has recently moved away from home reveal they hired an expert to help. In desperation to push Tripp out of the nest once and for all, Al and Sue hatch a plan to hire Paula, an ""interventionist,"" who has a formula in these cases.",2006-03-10,5.8,1653,"Romance, Comedy",en
My Best Friend's Wedding,"When she receives word that her longtime platonic pal Michael O'Neal is getting married to debutante Kimberly Wallace, food critic Julianne Potter realizes her true feelings for Michael -- and sets out to sabotage the wedding.",1997-06-19,6.593,2654,"Comedy, Romance",en
Good Will Hunting,"Headstrong yet aimless, Will Hunting has a genius-level IQ but chooses to work as a janitor at MIT. When he secretly solves highly difficult graduate-level math problems, his talents are discovered by Professor Gerald Lambeau, who decides to help the misguided youth reach his potential. When Will is arrested for attacking a police officer, Professor Lambeau makes a deal to get leniency for him if he gets court-ordered therapy. Eventually, therapist Dr. Sean Maguire helps Will confront the demons that are holding him back.",1997-12-05,8.16,12459,Drama,en
The Pursuit of Happyness,A struggling salesman takes custody of his son as he's poised to begin a life-changing professional career.,2006-12-14,7.898,9893,Drama,en
The Ugly Truth,"A romantically challenged morning show producer is reluctantly embroiled in a series of outrageous tests by her chauvinistic correspondent to prove his theories on relationships and help her find love. His clever ploys, however, lead to an unexpected result.",2009-07-24,6.503,3524,"Comedy, Romance",en
The Shawshank Redemption,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",1994-09-23,8.7,27458,"Drama, Crime",en
To All the Boys: P.S. I Still Love You,Lara Jean and Peter have just taken their romance from pretend to officially real when another recipient of one of her love letters enters the picture.,2020-02-03,6.839,2535,"Romance, Comedy",en
,"A teen navigates the complexities of high school, family and her sexuality while dealing with new superpowers. Based on Charles Forsman's graphic novel.",,8.037,1807,"Drama, Comedy, Unknown",en
Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",2018-01-17,6.699,8014,"Drama, Romance",en
Revolutionary Road,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children. Based on a novel by Richard Yates.,2008-12-19,6.986,3813,"Drama, Romance",en
,A web of secrets sends family man Adam Price on a desperate quest to uncover the truth about the people closest to him.,,7.145,454,"Mystery, Crime",en
The Two Popes,"Frustrated with the direction of the church, Cardinal Bergoglio requests permission to retire in 2012 from Pope Benedict. Instead, facing scandal and self-doubt, the introspective Pope Benedict summons his harshest critic and future successor to Rome to reveal a secret that would shake the foundations of the Catholic Church.",2019-11-27,7.5,2845,"Drama, History",en
Catch Me If You Can,"A true story about Frank Abagnale Jr. who, before his 19th birthday, successfully conned millions of dollars worth of checks as a Pan Am pilot, doctor, and legal prosecutor. An FBI agent makes it his mission to put him behind bars. But Frank not only eludes capture, he revels in the pursuit.",2002-12-16,7.979,15733,"Drama, Crime",en
,A streetwise hustler is pulled into a compelling conspiracy after witnessing the suicide of a girl who looks just like her.,,7.802,1252,"Drama, Unknown",en
,"Raymond ""Red"" Reddington, one of the FBI's most wanted fugitives, surrenders in person at FBI Headquarters in Washington, D.C. He claims that he and the FBI have the same interests: bringing down dangerous criminals and terrorists. In the last two decades, he's made a list of criminals and terrorists that matter the most but the FBI cannot find because it does not know they exist. Reddington calls this ""The Blacklist"". Reddington will co-operate, but insists that he will speak only to Elizabeth Keen, a rookie FBI profiler.",,7.6,3183,"Drama, Crime, Mystery",en
,"Dark Shadows is an American gothic soap opera that originally aired weekdays on the ABC television network, from June 27, 1966, to April 2, 1971. The show was created by Dan Curtis. The story bible, which was written by Art Wallace, does not mention any supernatural elements. It was unprecedented in daytime television when ghosts were introduced about six months after it began.

The series became hugely popular when vampire Barnabas Collins appeared a year into its run. Dark Shadows also featured werewolves, zombies, man-made monsters, witches, warlocks, time travel, and a parallel universe. A small company of actors each played many roles; indeed, as actors came and went, some characters were played by more than one actor. Major writers besides Art Wallace included Malcolm Marmorstein, Sam Hall, Gordon Russell, and Violet Welles.",,7.196,79,"Drama, Unknown, Unknown",en
,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",,8.022,2758,Drama,en
,"Soulful thriller set in Tokyo and London, exploring the butterfly effect of a single murder across two cities. A dark, witty and daring examination of morality and redemption.",,7.4,132,"Crime, Drama",en
Inglourious Basterds,"In Nazi-occupied France during World War II, a group of Jewish-American soldiers known as ""The Basterds"" are chosen specifically to spread fear throughout the Third Reich by scalping and brutally killing Nazis. The Basterds, lead by Lt. Aldo Raine soon cross paths with a French-Jewish teenage girl who runs a movie theater in Paris which is targeted by the soldiers.",2009-08-02,8.218,22373,"Drama, Thriller, War",en
,"Irreverent comedy drama which follows the messy lives, loves, delirious highs and inevitable lows of a group of raucous teenage friends in Bristol.",,8.1,1247,"Drama, Comedy",en
Zodiac,"The zodiac murders cause the lives of Paul Avery, David Toschi and Robert Graysmith to intersect.",2007-03-02,7.525,10564,"Crime, Drama, Mystery, Thriller",en
,"After seven years in prison, David Collins is acquitted of the murder of his wife. Now, he must fight to rebuild his shattered life while police search for the real murderer.",,7.1,44,"Crime, Mystery, Drama",en
Phi,"PHI is a documentary about the evolution of consciousness. Take a journey with some of the world’s most renowned experts in spirituality, psychology, and philosophy as we unravel the ego, embark on a journey of self-discovery, and ultimately find and share a path to mindful existence. The film itself is an experience. One that’ll help you uncover the deepest, truest you.",2016-11-14,0.0,0,Documentary,en
,Doctors Owen Maestro and Lola Spratt leave Children's Hospital and join a secret arm of the CDC to investigate and destroy a deadly global virus.,,6.435,130,Comedy,en
,"From the biology of attraction to the history of birth control, explore the ins and outs of sex in this entertaining and enlightening series.",,6.5,1865,Documentary,en
,"The murder of a young boy in a small coastal town brings a media frenzy, which threatens to tear the community apart.",,7.934,842,"Crime, Drama, Mystery",en
Murder Mystery,"On a long-awaited trip to Europe, a New York City cop and his hairdresser wife scramble to solve a baffling murder aboard a billionaire's yacht.",2019-05-25,6.271,4444,"Action, Comedy, Mystery",en
Lost in Translation,"Two lost souls visiting Tokyo -- the young, neglected wife of a photographer and a washed-up movie star shooting a TV commercial -- find an odd solace and pensive freedom to be real in each other's company, away from their lives in America.",2003-09-18,7.4,7361,"Drama, Romance",en
Marriage Story,"A stage director and an actress struggle through a grueling, coast-to-coast divorce that pushes them to their personal extremes.",2019-09-28,7.7,6944,Drama,en
,"An aging actor, who long ago enjoyed a brush with fame, makes his living as an acting coach.",,7.5,284,"Comedy, Drama",en
,"Set in a ruined medieval city called Dreamland, Disenchantment follows the grubby adventures of a hard-drinking princess, her feisty elf companion and her personal demon.",,7.4,1112,"Animation, Comedy, Unknown, Unknown",en
,"A drama about the investigations of AC-12, a controversial police anticorruption unit.",,8.265,406,"Crime, Drama, Mystery",en
Lady Bird,"Lady Bird McPherson, a strong willed, deeply opinionated, artistic 17 year old comes of age in Sacramento. Her relationship with her mother and her upbringing are questioned and tested as she plans to head off to college.",2017-09-01,7.3,8531,"Drama, Comedy",en
,"Crank up the 8-track and flash back to a time when platform shoes and puka shells were all the rage in this hilarious retro-sitcom. For Eric, Kelso, Jackie, Hyde, Donna and Fez, a group of high school teens who spend most of their time hanging out in Eric’s basement, life in the ‘70s isn’t always so groovy. But between trying to figure out the meaning of life, avoiding their parents, and dealing with out-of-control hormones, they’ve learned one thing for sure: they’ll always get by with a little help from their friends.",,8.0,1418,"Comedy, Family, Drama",en
Kill Me If You Dare,A winning lottery ticket has grave consequences for a married couple when they start hatching plans to kill each other for the prize money.,2024-02-13,5.4,90,"Comedy, Romance",pl
Turkish Ice Cream,"In 1915, two Turks in Australia make a living by selling ice cream. When they hear war has broken out, they decide to go to Çanakkale. Authorities don't let them leave the island, so the two decide to put up a fight in Australia.",2019-03-15,6.0,37,"History, Drama, War",tr
No Way,A Turkish taxi driver tells stories which are almost unbelievable.,2015-09-25,4.9,44,"Comedy, Drama",tr
,"The Sons of Anarchy (SOA) is an outlaw motorcycle club with many charters in the United States as well as overseas. The show focused on the original and founding (mother) charter, Sons of Anarchy Motorcycle Club, Redwood Original, often referred to by the acronym SAMCRO, Sam Crow, or simply Redwood charter. the charter operates both illegal and legal businesses in the small town of Charming. They combine gun-running and a garage, plus involvement in porn film. Clay, the president, likes it old school and violent; while Jax, his stepson and the club's VP, has thoughts about changing the way things are. Their conflict has effects on both the club and their personal relationship. especially When Jackson ""Jax"" Teller discovers that his father had a different view in mind for SAMCRO (Sons of Anarchy Motorcycle Club Redwood Original) he goes on a personal quest to cleanse the name and make the club a better place, but at what cost?",,8.4,2903,"Crime, Drama",en
,"Bored and unhappy as the Lord of Hell, Lucifer Morningstar abandoned his throne and retired to Los Angeles, where he has teamed up with LAPD detective Chloe Decker to take down criminals. But the longer he's away from the underworld, the greater the threat that the worst of humanity could escape.",,8.457,14805,"Crime, Unknown",en
My Travel Buddy 2,Onur and Seref have become both housemates and colleagues within a year. Seref is not successful in managing the song career of Onur.,2018-10-12,5.7,41,"Comedy, Family",tr
,Step inside the minds of the most innovative designers in a variety of disciplines and learn how design impacts every aspect of life.,,7.7,68,Documentary,en
,"Centered around a personally troubled, officially discredited police chief and his inharmonious police team in Ankara Police Force. Even though the show usually focuses on murders and other crimes that happens on a weekly basis, the undertone of the story leads to an eventual duel between Behzat Ç. and the rotten department officials and bureaucrats.",,7.7,72,"Drama, Unknown, Unknown, Crime",tr
,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,,7.8,258,Comedy,en
,"In the 1960s, Israeli clerk-turned-secret agent Eli Cohen goes deep undercover inside Syria on a perilous, years-long mission to spy for Mossad.",,7.4,248,Drama,en
Eyyvah Eyvah 3,Thid part of the popular turkish comedy film series.,2014-01-31,5.288,59,Comedy,tr
Midnight in Paris,"While on a trip to Paris with his fiancée's family, a nostalgic screenwriter finds himself mysteriously going back to the 1920s every day at midnight.",2011-05-11,7.5,7281,"Fantasy, Comedy, Romance",en
,"Classic Saturday-morning cartoon series featuring magical blue elf-like creatures called Smurfs. The Smurfs, named for their personalities, inhabit a village of mushroom houses in an enchanted forest. These loveable creatures are led by Papa Smurf and live carefree... except for one major threat to their existance: Gargamel, an evil but inept wizard who lives in a stone-built house in the forest; and his feline companion, the equally nasty Azrael. ",,6.9,489,"Animation, Family, Unknown, Unknown, Comedy",en
Butterflies,"Three strangers with one thing in common — the same father — come to a Turkish village to bury him, and learn about him and each other.",2018-03-30,7.0,98,"Drama, Comedy",tr
Cem Yılmaz: CM101MMXI Fundamentals,"The funny little details of everyday life,  simple things that make us laugh.  An unforgettable performance from Cem Yilmaz.  Yilmaz captures the audience with his hilarious stories about relationships, humankind's struggle with the technology and professional life. Yilmaz proves us that a food delivery or even a funeral might be amusing when considered correctly.  Written by Elmalma Brand Communication",2013-01-02,8.2,126,"Comedy, TV Movie, Documentary",tr
