title,overview,release_date,vote_average,vote_count,genres,original_language
,"The story of how the young Queen Charlotte’s marriage to King George sparked both a great love story and a societal shift, creating the world of the Ton inherited by the characters in Bridgerton.",,8.1,522,Drama,en
Illegal Lives,"Mahsun constantly has to cope with police raids since he runs an illegal casino. Because he wants to continue to run this casino, Mahsun decides to establish a fake political party as a disguise. His aim is to keep the casino able to continue operating in secret without any interference. However, this idea leads him and his friends into an unexpected outcome.",2023-01-13,5.5,23,Comedy,tr
,"The story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.",,8.2,2603,"Drama, Unknown",en
,"Hiding a mysterious past, a mother lives like a nameless fugitive with her daughter as they make hotels their home and see everyone else as a threat.",,6.8,46,"Crime, Mystery, Drama",tr
,"Talented designers from around the world compete for $250,000 and the chance to become the next big thing in fashion.",,6.8,38,Unknown,en
Maid in Manhattan,A Tubi original remake of the 2002 Jennifer Lopez feature.,,0.0,0,"Comedy, Romance, Drama",en
Capernaum,"After running away from his negligent parents, committing a violent crime and being sentenced to five years in jail, a hardened, streetwise 12-year-old Lebanese boy sues his parents in protest of the life they have given him.",2018-09-20,8.2,1718,Drama,ar
,Landmark mockumentary-maker Philomena Cunk traces the history of Britain and Earth.,,7.9,108,"Comedy, Documentary",en
,"Angsty and awkward fifteen year old Ginny Miller often feels more mature than her thirty year old mother, the irresistible and dynamic Georgia Miller. After years on the run, Georgia desperately wants to put down roots in picturesque New England and give her family something they've never had... a normal life. But it's not all carpool and Kombucha as Georgia's past threatens her and her family's new way of life... and Georgia will do anything to protect her family.",,8.092,1578,"Comedy, Drama",en
Love & Gelato,"Lina is about to graduate high school and has her sights set on her future at MIT. But when her mom gets sick, she encourages Lina to follow in her footsteps and have “the summer of a lifetime” in Rome. Using her mom’s old diary as a guide, she explores the romantic and magical city, where she just might find love... and gelato, of course.",2022-06-22,5.4,222,"Romance, Comedy, Drama",en
,"A financial adviser drags his family from Chicago to the Missouri Ozarks, where he must launder $500 million in five years to appease a drug boss.",,8.2,2337,"Crime, Drama",en
,"In this fantasy drama series, a lonely young woman finds her soul mate and discovers they are both part of an ancient legend.",,6.9,70,"Drama, Unknown, Mystery, Unknown",tr
Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investigate. From Harlan's dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan's untimely death.",2019-11-27,7.8,12487,"Comedy, Crime, Mystery",en
